"Fabric","Folder","Count"
"Ткань Ветрозащитка 290Т","C:\tkani\Ткань Ветрозащитка 290Т","9"
"Ткань Габардин","C:\tkani\Ткань Габардин","20"
"Ткань Грета 200","C:\tkani\Ткань Грета 200","16"
"Ткань Грета КМФ","C:\tkani\Ткань Грета КМФ","20"
"Ткань Грета Рип-Стоп","C:\tkani\Ткань Грета Рип-Стоп","5"
"Ткань Грета Рип-Стоп КМФ","C:\tkani\Ткань Грета Рип-Стоп КМФ","20"
"Ткань Грета Рип-Стоп КМФ камуфляж","C:\tkani\Ткань Грета Рип-Стоп КМФ камуфляж","20"
"Ткань Грета Флис Рип-Стоп КМФ","C:\tkani\Ткань Грета Флис Рип-Стоп КМФ","14"
"Ткань Дюспо 240Т Милки","C:\tkani\Ткань Дюспо 240Т Милки","13"
"Ткань Дюспо микро Рип-Стоп","C:\tkani\Ткань Дюспо микро Рип-Стоп","8"
"Ткань Дюспо Флис","C:\tkani\Ткань Дюспо Флис","20"
"Ткань Кошачий глаз","C:\tkani\Ткань Кошачий глаз","6"
"Ткань Москитные сетки","C:\tkani\Ткань Москитные сетки","3"
"Ткань Оксфорд 200","C:\tkani\Ткань Оксфорд 200","20"
"Ткань Оксфорд 210","C:\tkani\Ткань Оксфорд 210","11"
"Ткань Оксфорд 210 Люкс","C:\tkani\Ткань Оксфорд 210 Люкс","16"
"Ткань Оксфорд 210 Принт","C:\tkani\Ткань Оксфорд 210 Принт","5"
"Ткань Оксфорд 240 Полоса","C:\tkani\Ткань Оксфорд 240 Полоса","4"
"Ткань Оксфорд 600 ПУ","C:\tkani\Ткань Оксфорд 600 ПУ","13"
"Ткань Оксфорд 600 ПУ Рип-Стоп","C:\tkani\Ткань Оксфорд 600 ПУ Рип-Стоп","11"
"Ткань Сетка","C:\tkani\Ткань Сетка","15"
"Ткань Сетка КМФ 120","C:\tkani\Ткань Сетка КМФ 120","5"
"Ткань Таслан 189Т","C:\tkani\Ткань Таслан 189Т","12"
"Ткань Таффета 190Т","C:\tkani\Ткань Таффета 190Т","20"
"Ткань Твил 1","C:\tkani\Ткань Твил 1","18"
"Ткань Тиси","C:\tkani\Ткань Тиси","18"
"Ткань Трикотажные сетки","C:\tkani\Ткань Трикотажные сетки","7"
"Ткань Флис","C:\tkani\Ткань Флис","20"
"Ткань Флис 130","C:\tkani\Ткань Флис 130","10"
"Ткань Флис 180","C:\tkani\Ткань Флис 180","8"
"Ткань Флис 260","C:\tkani\Ткань Флис 260","5"
